6
Rengar,Mordekaiser,Taric,Trundle,Galio,Soraka,Fiora,Tristana,Brand,Tryndamere
Fiora,Varus,Fizz,Cho’Gath,Vayne,Orianna,Diana,Sivir,Jarvan,Leona
Taric,Karma,Thresh,Morgana,Talon,Hecarim,Gragas,Cho’Gath,Pantheon,Mordekaiser
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed
Karma,Trundle,Janna,Alistar,Karthus,Vi,Brand,Maokai,Jayce,Mordekaiser
Garen,Mordekaiser,Swain,Shaco,Shyvana,Evelynn,Olaf,Karthus,Teemo,Fiora
Darius,Garen,Mordekaiser,Alistar,Master,Pantheon,Elise,Gragas,Malphite,Leona,2
Brand,Morgana,Master,Jarvan,Taric,Sejuani,Irelia,Diana,Singed,Shaco,1
Corki,Nami,Shaco,Soraka,Gragas,Kha'Zix,Alistar,Viktor,Cassiopeia,Caitlyn,1
Nunu,Master,Shen,Alistar,Singed,Ezreal,Katarina,Urgot,Riven,Garen,1
Garen,Nasus,Master,Malzahar,Draven,Corki,Twisted,Nunu,Anivia,Trundle,2
Shyvana,Heimerdinger,Akali,Orianna,Thresh,Vi,Gragas,Twisted,Kha'Zix,Jax,2
Rumble,Katarina,Lee,Twisted,Mordekaiser,Akali,Shyvana,Varus,Riven,Annie,1
Alistar,Malphite,Riven,Shen,Rumble,Darius,Morgana,Twisted,Trundle,Brand,2
Galio,Nautilus,Heimerdinger,Gragas,Ashe,Soraka,Singed,Renekton,Rammus,Nocturne,1
Diana,Corki,Gragas,Lulu,Tristana,Galio,Shaco,Orianna,Leona,Mordekaiser,2
Mordekaiser,Galio,Amumu,Nunu,Thresh,Irelia,Fiora,Malphite,Shyvana,Sona,2
Thresh,Corki,Sona,Caitlyn,Akali,Fiora,Shen,Blitzcrank,Nasus,Diana,1
Nami,Diana,Kog'Maw,Singed,Udyr,Jayce,Poppy,Soraka,Irelia,Shyvana,1
Draven,Diana,Graves,Karma,Jax,Ryze,Twisted,Malphite,Kennen,Fiddlesticks,2
Draven,Karthus,Kennen,Fiddlesticks,Malphite,Alistar,Orianna,Trundle,Soraka,Kassadin,1
Miss,Shen,Shyvana,Lee,Gragas,Jayce,Mordekaiser,Sejuani,Urgot,Kha'Zix,2
Vi,Fiora,Diana,Kha'Zix,Fiddlesticks,Sona,Riven,Garen,Brand,Galio,1
Singed,Darius,Orianna,Annie,Ezreal,Fiora,Ryze,Poppy,Lee,Elise,2
Mordekaiser,Lee,Thresh,Orianna,Elise,Rengar,Jayce,Swain,Garen,Renekton,2
Vayne,Karma,Sejuani,Maokai,Karthus,Anivia,Orianna,Kassadin,Janna,Shen,1
Sona,Cho'Gath,Master,Brand,Olaf,Akali,Orianna,Kayle,Anivia,Thresh,2
Malzahar,Vi,Amumu,Tristana,Garen,Skarner,Corki,Tryndamere,Jayce,Shaco,2
Fiora,Trundle,Vayne,Garen,Darius,Nocturne,LeBlanc,Brand,Karthus,Draven,1
Nocturne,Cho'Gath,Fiddlesticks,Evelynn,Cassiopeia,Kha'Zix,Thresh,Diana,Caitlyn,Nunu,2
Fizz,Master,Malphite,Fiddlesticks,Lee,Heimerdinger,Cho'Gath,Rammus,Vayne,Vi,1
Poppy,Nasus,Shaco,Soraka,Lulu,Elise,Cho'Gath,Nocturne,Kha'Zix,Renekton,1
Annie,Nocturne,Jayce,Twisted,Lee,Corki,Lulu,Akali,Rengar,Tristana,1
LeBlanc,Thresh,Nami,Draven,Galio,Shyvana,Syndra,Vayne,Taric,Darius,1
Lee,Trundle,Diana,Udyr,Garen,Malzahar,Draven,Irelia,Malphite,Syndra,1
Diana,Brand,Annie,Orianna,Nami,LeBlanc,Cho'Gath,Ezreal,Vayne,Taric,1
Vi,Fiora,Varus,Shaco,Orianna,Ashe,Kassadin,Nasus,Thresh,Hecarim,2
Kayle,Leona,Rengar,Riven,Lee,Viktor,Orianna,Fiora,Mordekaiser,Morgana,2
Anivia,Varus,Thresh,Draven,Pantheon,Diana,Kennen,Malphite,Shaco,Corki,2
Shaco,Veigar,Miss,Caitlyn,Karthus,Swain,Leona,Kassadin,Trundle,Urgot,2
Malzahar,Fiora,Shyvana,Draven,Kog'Maw,Cho'Gath,Orianna,Akali,Morgana,Sivir,2
Fiora,Shaco,Ezreal,Soraka,Morgana,Heimerdinger,Diana,Jarvan,Vayne,Trundle,2
Teemo,Fiora,Irelia,Corki,Trundle,Malphite,Twisted,Lulu,Kennen,Skarner,2
Darius,Singed,Alistar,Kha'Zix,Lux,Mordekaiser,Blitzcrank,Kayle,Akali,Pantheon,2
Caitlyn,Sona,Udyr,Mordekaiser,Cho'Gath,Diana,Hecarim,Annie,Fizz,Shyvana,1
Evelynn,Fiddlesticks,Kayle,Twisted,LeBlanc,Varus,Master,Tristana,Udyr,Nocturne,2
Vayne,Kayle,Trundle,Thresh,Corki,Fiora,Soraka,Draven,Nami,Elise,2
Mordekaiser,Trundle,Kha'Zix,Shaco,Twitch,Ryze,Kayle,Pantheon,Singed,Corki,2
Evelynn,Singed,Rammus,Garen,Teemo,Thresh,Twisted,Corki,Pantheon,Sona,1
Malphite,Orianna,Kayle,Blitzcrank,Poppy,Nami,Corki,Renekton,Shaco,Twisted,1
Thresh,Pantheon,Fiora,Talon,Lux,Akali,Alistar,Annie,Ezreal,Master,2
Fiora,Varus,Riven,Kha'Zix,Malphite,Urgot,Rumble,Swain,Sion,Fizz,2
Mordekaiser,Thresh,Cassiopeia,Vayne,Nocturne,Kayle,Orianna,Cho'Gath,Jax,Fiora,1
Vi,Tristana,Elise,Ashe,Nocturne,Janna,Riven,Rengar,Karthus,Nidalee,1
Mordekaiser,Fiora,Corki,Nautilus,Master,Lee,Sona,Tristana,Vayne,Rammus,1
Trundle,Amumu,Kha'Zix,Mordekaiser,Brand,Soraka,Jayce,Heimerdinger,Vayne,Twisted,2
Renekton,Lux,Jayce,Orianna,Garen,Kog'Maw,Malzahar,Skarner,Anivia,Heimerdinger,1
Varus,Shaco,Vi,Anivia,Malphite,Corki,Fiora,Sona,Shyvana,Nidalee,1
Karthus,Shyvana,Vayne,Kassadin,Master,Vi,Hecarim,Trundle,Janna,Jarvan,1
Fizz,Fiora,Poppy,Akali,Rumble,Jax,Anivia,Malphite,Ashe,Kassadin,2
Caitlyn,Jayce,Shaco,Nami,Heimerdinger,Kayle,Gragas,Poppy,Malphite,Varus,2
Lux,Fiora,Diana,Nami,Vi,Nocturne,Graves,Draven,Cho'Gath,Malphite,1
Maokai,Cassiopeia,Orianna,Viktor,Rammus,Thresh,Teemo,Akali,Swain,Galio,2
Akali,Shaco,Jax,Singed,Diana,Kha'Zix,Teemo,Kennen,Darius,Sejuani,2
Alistar,Shen,Fizz,Kog'Maw,Orianna,Thresh,Diana,Katarina,Jayce,Nidalee,2
Ryze,Corki,Annie,Trundle,Shyvana,Master,Nasus,Katarina,Miss,Elise,2
Veigar,Nasus,Shyvana,Poppy,Tristana,Caitlyn,Vi,Nunu,Sona,Fiora,1
Morgana,Heimerdinger,Maokai,Cho'Gath,Kassadin,Hecarim,Graves,Irelia,Lux,Nami,2
Twitch,Karthus,Master,Trundle,Shen,Vi,Mordekaiser,Jayce,Nocturne,Lee,1
Akali,Gragas,Evelynn,Garen,Jayce,Kayle,Cassiopeia,Urgot,Heimerdinger,Twitch,1
Kennen,Diana,Vi,Shen,Poppy,Rumble,Gragas,Garen,Galio,Orianna,1
Tristana,Trundle,Mordekaiser,Brand,Shen,Nami,Kog'Maw,Jayce,Irelia,Kennen,1
Malphite,Karma,Skarner,Tristana,Fizz,Miss,Darius,Diana,Heimerdinger,Brand,2
Corki,Graves,Kha'Zix,Annie,Nami,Cho'Gath,Twisted,Karma,Blitzcrank,Vi,2
LeBlanc,Swain,Alistar,Annie,Fiora,Cho'Gath,Nami,Mordekaiser,Janna,Sona,2
Nunu,Kennen,Lux,Teemo,Mordekaiser,Poppy,Twisted,Kha'Zix,Rumble,Corki,1
Nidalee,Kassadin,Kog'Maw,Shyvana,Orianna,Sion,Ryze,Evelynn,Diana,Varus,1
Orianna,Diana,Tristana,Rengar,Blitzcrank,Ashe,Master,Mordekaiser,Veigar,Renekton,2
Jax,Lulu,Irelia,Tryndamere,Olaf,Miss,Viktor,Malphite,Thresh,Rammus,2
Fiddlesticks,Shaco,Swain,Trundle,Malphite,Fiora,Soraka,Rammus,Elise,Thresh,2
Cho'Gath,Urgot,Olaf,Caitlyn,Nidalee,Morgana,Elise,Jarvan,Blitzcrank,Annie,2
Singed,Orianna,Kayle,Mordekaiser,Graves,Elise,Fiora,Kennen,Renekton,Karma,1
Diana,Graves,Shen,Pantheon,Morgana,Garen,Galio,Sona,Viktor,Cho'Gath,1
Orianna,Annie,Malphite,Lulu,Varus,Maokai,Vayne,Pantheon,Diana,Akali,1
Darius,Rammus,Brand,Jayce,Annie,Shyvana,Garen,Nasus,Skarner,Morgana,1
Garen,Shyvana,Renekton,Karma,Master,Fiora,Jayce,Trundle,Ashe,Alistar,1
Singed,Malphite,Fizz,Kassadin,Rammus,Kennen,Brand,Orianna,Caitlyn,Thresh,1
Trundle,Morgana,Galio,Ashe,Twisted,Garen,Lulu,Rumble,Alistar,Taric,1
Trundle,Jax,Karma,Twisted,Akali,Brand,Heimerdinger,Janna,Diana,Mordekaiser,2
Malphite,Swain,Teemo,Karthus,Annie,Miss,Skarner,Urgot,Cho'Gath,Shen,1
Lulu,Kha'Zix,Thresh,Annie,Fiora,Sona,Akali,Gragas,Vi,Trundle,2
Ezreal,Singed,Caitlyn,Rengar,Alistar,Trundle,Mordekaiser,Karma,Orianna,Riven,2
Maokai,Nami,Shen,Ryze,Graves,Sona,Garen,Kayle,Vi,Akali,1
Mordekaiser,Corki,Annie,Garen,Kayle,Blitzcrank,Shyvana,Ashe,Soraka,Lulu,1
Lulu,Diana,Vayne,Graves,Thresh,Udyr,Anivia,Kennen,Master,Shaco,2
Evelynn,Orianna,Elise,Alistar,Cho'Gath,Fizz,Shyvana,Brand,Corki,Thresh,1
Shyvana,Jayce,Twisted,Anivia,Vi,Sona,Miss,Fiddlesticks,Darius,Ashe,1
Thresh,Heimerdinger,Malzahar,Cassiopeia,Galio,Jayce,Master,Amumu,Fiora,Urgot,2
Trundle,Garen,Fiddlesticks,Shen,Cho'Gath,Shaco,Teemo,Heimerdinger,Cassiopeia,Fiora,1
Shen,Teemo,Rumble,Mordekaiser,Urgot,Malphite,Gragas,Lulu,Orianna,Rammus,2
Vi,Miss,Varus,Shyvana,Trundle,Sejuani,Gragas,Diana,Katarina,Cho'Gath,2
Brand,Elise,Mordekaiser,Orianna,Garen,Kayle,Evelynn,Cho'Gath,Akali,Vi,2
Alistar,Ezreal,Diana,Galio,Pantheon,Morgana,Singed,Sion,Heimerdinger,Anivia,2
Vi,Pantheon,Galio,Blitzcrank,Twisted,Corki,Annie,Rammus,Kayle,Evelynn,1
Garen,Tryndamere,Diana,Evelynn,Kha'Zix,Veigar,Orianna,Gragas,Ashe,Malzahar,2
Vi,Master,Jax,Thresh,Shaco,Kayle,Orianna,Kassadin,Draven,Lee,1
Kayle,Karma,Mordekaiser,Sejuani,Twitch,Vi,Ryze,Trundle,Galio,Lulu,2
Hecarim,Elise,Urgot,Amumu,Miss,Alistar,Shaco,Ezreal,Draven,Nami,1
Elise,Lee,Annie,Urgot,Teemo,Blitzcrank,Shyvana,Lulu,Akali,Draven,2
Galio,Ashe,Diana,Rammus,Tristana,Irelia,Skarner,Swain,Nami,Mordekaiser,1
Skarner,Akali,Kayle,Riven,Darius,Fiora,Jax,Viktor,Tristana,Lux,1
Poppy,Annie,Vi,Caitlyn,Talon,Shen,Pantheon,Hecarim,Kassadin,Draven,1
Annie,Hecarim,Fiora,Sejuani,Kayle,Garen,Thresh,Brand,Karma,Lulu,1
Fiddlesticks,Master,Trundle,Ashe,Irelia,Shaco,Sivir,Singed,Graves,Fizz,1
Poppy,Varus,Urgot,Nami,Katarina,Tryndamere,Elise,Jax,Brand,Orianna,1
Singed,Tristana,Ryze,Twitch,Diana,Soraka,Nasus,Amumu,Tryndamere,Thresh,1
Kha'Zix,Garen,Anivia,Evelynn,Singed,Ezreal,Varus,Brand,Shyvana,Swain,2
Mordekaiser,Diana,Dr.Mundo,Varus,Orianna,Renekton,Kayle,Malphite,Galio,Draven,1
Soraka,Thresh,Urgot,Trundle,Diana,Orianna,Karma,Ezreal,Kennen,Fiora,1
Amumu,Riven,Malphite,Hecarim,Diana,Draven,Ashe,Kayle,Poppy,Brand,2
Vayne,Viktor,Rumble,Shyvana,Vi,Cho'Gath,Twisted,Fizz,Morgana,Leona,2
Graves,Kog'Maw,Orianna,Janna,Draven,Ashe,Shaco,Shyvana,Brand,Amumu,1
Alistar,Fiora,Shaco,Skarner,Olaf,Nami,Kayle,Thresh,Malphite,Teemo,2
Orianna,Fiora,Veigar,Sona,Diana,Graves,Nami,Draven,Karma,Trundle,1
Kha'Zix,Alistar,Riven,Kennen,Elise,Thresh,Anivia,Fiora,Nidalee,Diana,1
Veigar,Orianna,Soraka,Corki,Twisted,Kog'Maw,Trundle,Katarina,Tristana,Darius,1
Rumble,Riven,Dr.Mundo,Caitlyn,Shen,Corki,Annie,Galio,Darius,Ezreal,2
Diana,Mordekaiser,Vayne,Nasus,Orianna,Sivir,Maokai,Kha'Zix,Vi,Nocturne,2
Corki,Morgana,Kayle,Nunu,Poppy,Ezreal,Hecarim,Anivia,Cho'Gath,Kassadin,2
Diana,Shen,Vayne,Thresh,Dr.Mundo,Soraka,Caitlyn,Poppy,Brand,Jax,2
Diana,Corki,Annie,Ezreal,Anivia,Blitzcrank,Lee,Talon,Shaco,Nautilus,2
Thresh,Twitch,Galio,Ryze,Vi,Evelynn,Gragas,Twisted,Swain,Jarvan,2
Ezreal,Caitlyn,Sona,Diana,Ryze,Malzahar,Heimerdinger,Trundle,Morgana,Shyvana,2
Corki,Katarina,Nocturne,Nami,Rammus,Pantheon,Annie,Soraka,Fiora,Kog'Maw,2
Hecarim,Irelia,Kayle,Caitlyn,Diana,Jayce,Anivia,Singed,Katarina,Cho'Gath,2
Master,Thresh,Kog'Maw,Diana,Mordekaiser,Draven,Malzahar,Shyvana,Blitzcrank,Karma,2
Tristana,Varus,Diana,Jarvan,Lulu,Mordekaiser,Poppy,Nami,Kayle,Tryndamere,1
LeBlanc,Orianna,Dr.Mundo,Pantheon,Jax,Jayce,Olaf,Master,Thresh,Jarvan,2
Sion,Talon,Leona,Syndra,Garen,Rumble,Diana,Miss,Kassadin,LeBlanc,1
Anivia,Darius,Draven,Lulu,Diana,Garen,Morgana,Gragas,Alistar,Singed,1
Morgana,Kayle,Malzahar,Twitch,Garen,Corki,Master,Ezreal,Pantheon,Veigar,2
Veigar,Corki,Teemo,Kayle,Fiddlesticks,Rumble,Fiora,Shyvana,Viktor,Twitch,1
Katarina,Corki,Karthus,Caitlyn,Riven,Pantheon,Blitzcrank,Gragas,Morgana,Miss,1
Annie,Cho'Gath,Shaco,Sejuani,Diana,Darius,Trundle,Maokai,Miss,Pantheon,1
Kog'Maw,Ryze,Fiora,Vi,Janna,Sivir,Thresh,Lux,Nami,Kayle,2
Evelynn,Vi,Orianna,Poppy,Nami,Mordekaiser,Jayce,Kayle,Master,Shyvana,2
Rengar,Nami,Blitzcrank,Olaf,Fiddlesticks,Malzahar,Orianna,Diana,Thresh,Miss,1
LeBlanc,Twisted,Kha'Zix,Riven,Cho'Gath,Galio,Urgot,Nasus,Amumu,Shaco,1
Graves,Corki,Shyvana,Urgot,Skarner,Vi,Kha'Zix,Malzahar,Talon,Orianna,1
Veigar,Pantheon,Tristana,Elise,Corki,Kha'Zix,Sivir,Graves,Maokai,Rammus,2
Nidalee,Nautilus,Singed,Malzahar,Veigar,Shyvana,Kog'Maw,Nami,Thresh,Talon,1
Anivia,Rammus,Garen,Mordekaiser,Karma,Elise,Jax,Rumble,Heimerdinger,Caitlyn,1
Corki,Alistar,Diana,Thresh,Poppy,Annie,Soraka,Shyvana,Riven,Brand,1
Annie,Urgot,Ashe,Veigar,Elise,Amumu,Twisted,Diana,Brand,Sejuani,1
Evelynn,Ryze,Diana,Annie,Leona,Morgana,Cho'Gath,Corki,Vi,Master,1
Brand,Jax,Cho'Gath,Skarner,Irelia,Trundle,Kayle,Dr.Mundo,Rengar,Kennen,2
Soraka,Anivia,Fiora,Evelynn,Dr.Mundo,Morgana,Miss,Pantheon,Graves,Alistar,1
Fiora,Shyvana,Mordekaiser,Kha'Zix,Malzahar,Shen,Fizz,Irelia,Kog'Maw,Blitzcrank,2
Malphite,Taric,Annie,Orianna,Thresh,Varus,Trundle,Kennen,Maokai,Amumu,1
Shyvana,Singed,Orianna,Vi,Olaf,Kayle,Rumble,Darius,Heimerdinger,Rengar,2
Akali,Elise,Skarner,Riven,Karthus,Nocturne,Soraka,Gragas,Fiddlesticks,Urgot,2
Mordekaiser,Gragas,Lulu,Vi,Pantheon,Thresh,Evelynn,Katarina,Twisted,Trundle,2
Pantheon,Orianna,Anivia,Mordekaiser,Amumu,Vi,Nasus,Gragas,Kayle,Janna,2
Tristana,Trundle,Teemo,Swain,Malphite,Miss,Rammus,Gragas,Master,Corki,2
Rammus,Nami,Kha'Zix,Ezreal,Sona,Caitlyn,Singed,Twisted,Corki,Diana,2
Shaco,Garen,Nocturne,Cho'Gath,Elise,Rumble,Shyvana,Corki,Master,LeBlanc,2
Blitzcrank,Heimerdinger,Sona,Cho'Gath,Kha'Zix,Caitlyn,Lulu,Vayne,Graves,Master,2
Nunu,Kog'Maw,Kayle,Udyr,Diana,Nami,Evelynn,Vayne,Darius,Nocturne,1
Caitlyn,Twisted,Soraka,Kayle,Trundle,Orianna,Tryndamere,Ezreal,Thresh,Rumble,1
Karthus,Taric,Garen,Kayle,Nidalee,Twitch,Sejuani,Soraka,Udyr,Urgot,2
Fizz,Corki,Rammus,Vi,Twisted,Trundle,Thresh,Morgana,Urgot,Poppy,1
Tristana,Morgana,Thresh,Lee,Shyvana,Janna,Brand,Varus,Gragas,Mordekaiser,1
Twisted,Taric,Skarner,Kayle,Urgot,Janna,Vi,Lulu,Vayne,Graves,1
Nasus,Alistar,Singed,Morgana,Lulu,Sona,Rammus,Kayle,Lee,Fiddlesticks,2
Kog'Maw,Galio,Twisted,Graves,Pantheon,Nunu,Evelynn,Miss,Master,Irelia,2
Alistar,Miss,Poppy,Lee,Pantheon,Jarvan,Galio,Thresh,Shaco,Tristana,1
Brand,Ashe,Hecarim,Miss,Thresh,Anivia,Alistar,Nautilus,Nami,Dr.Mundo,1
Fiddlesticks,Mordekaiser,Evelynn,Lux,Shyvana,Sion,Viktor,Elise,Annie,Corki,2
Thresh,Mordekaiser,Shaco,Syndra,Diana,Fiora,Rammus,Kayle,Evelynn,Akali,1
Swain,Graves,Singed,Lulu,Amumu,Shen,Rumble,Orianna,Kayle,Malphite,1
Amumu,Malzahar,Nunu,Fiora,Garen,Udyr,Master,Morgana,Poppy,Pantheon,2
Sona,Brand,Morgana,Rammus,Shyvana,Alistar,Kassadin,Vi,Kayle,Malphite,1
Lee,Vi,Galio,Rumble,Riven,Leona,Diana,Twisted,Rengar,Jayce,2
Shyvana,Evelynn,Nasus,Rumble,Sona,Mordekaiser,Caitlyn,Katarina,Blitzcrank,Vi,1
Caitlyn,Teemo,Twisted,Evelynn,Brand,Gragas,Corki,Sion,Veigar,Skarner,2
Alistar,Diana,Jarvan,Ashe,Fizz,Vayne,Jayce,Riven,Swain,Tryndamere,2
Twisted,Blitzcrank,Varus,Riven,Diana,Gragas,Caitlyn,Nidalee,Fizz,Jarvan,1
Soraka,Pantheon,Lulu,Ezreal,Orianna,Annie,Katarina,Sejuani,Diana,Vayne,1
Orianna,Morgana,Cassiopeia,Thresh,Fiddlesticks,Vi,Twitch,Fiora,Mordekaiser,Swain,1
Fiddlesticks,Nidalee,Maokai,Kha'Zix,Soraka,Shen,Cho'Gath,Fizz,Ashe,Blitzcrank,1
Annie,Shyvana,Mordekaiser,Kha'Zix,Hecarim,Galio,Janna,Trundle,Rammus,Lee,2
Thresh,Swain,Tristana,Vayne,Irelia,Corki,Vi,Fiddlesticks,Fizz,Shaco,1
Mordekaiser,Ezreal,Lee,Vi,Thresh,Kayle,Morgana,Amumu,Kassadin,Lux,2
Poppy,Orianna,Vi,Fiddlesticks,Urgot,Amumu,Akali,Lux,Nami,Vayne,1
Pantheon,Elise,Malzahar,Veigar,Garen,Master,Blitzcrank,Annie,Galio,Jarvan,2
Kayle,Urgot,Rammus,Dr.Mundo,Vayne,Tryndamere,Lee,Lux,Fiddlesticks,Galio,1
Swain,Brand,Darius,Cho'Gath,Morgana,Caitlyn,Corki,Shyvana,Gragas,Sona,2
Skarner,Jax,Akali,Evelynn,Trundle,Nunu,Sejuani,Nami,Annie,Poppy,2
Kayle,Sona,Malphite,Trundle,Anivia,Lulu,Kassadin,Galio,Blitzcrank,Nasus,2
Nocturne,Ashe,Darius,Malphite,Sion,Fiora,Varus,LeBlanc,Shaco,Mordekaiser,1
Nocturne,Lulu,Talon,Twisted,Vayne,Garen,Shyvana,Cho'Gath,Blitzcrank,Mordekaiser,2
Irelia,Sejuani,Fiora,Kog'Maw,Cho'Gath,Sivir,Orianna,Shyvana,Kha'Zix,Miss,2
Trundle,Rengar,Lux,Singed,Tristana,Ashe,Caitlyn,Vi,Fiora,Gragas,2
Fiora,Alistar,Gragas,Cassiopeia,Mordekaiser,Malphite,Jax,Fiddlesticks,Talon,LeBlanc,2
Maokai,Annie,Sivir,Shyvana,Shaco,Diana,Thresh,Swain,Caitlyn,Cho'Gath,1
Nunu,Trundle,Evelynn,Garen,Akali,Kayle,Sona,Morgana,Veigar,Pantheon,2
Sona,Fiora,Trundle,Morgana,Olaf,Nami,Poppy,Ezreal,Soraka,Twisted,1
Brand,Thresh,Caitlyn,Corki,Kayle,Graves,Diana,Mordekaiser,Viktor,Akali,1
Morgana,Heimerdinger,Diana,Thresh,Mordekaiser,Shyvana,Jarvan,Kassadin,Fiora,Cho'Gath,2
Corki,Gragas,Syndra,Trundle,Twisted,Lee,Heimerdinger,Darius,Master,Kennen,1
Karthus,Swain,Lee,Diana,Shyvana,Mordekaiser,Shaco,Thresh,Soraka,Ryze,1
Viktor,Morgana,Twisted,Shen,Lulu,Ashe,Kayle,Mordekaiser,Taric,Kennen,2
Shen,Trundle,Caitlyn,Gragas,Nautilus,Brand,Darius,Fiora,Malzahar,Rammus,1
Poppy,Ashe,Darius,Varus,Viktor,Twisted,Corki,Alistar,Kayle,Urgot,1
Kennen,Veigar,Galio,Shen,Gragas,Alistar,Rumble,Sivir,Pantheon,Thresh,1
Fiora,Miss,Mordekaiser,Evelynn,Orianna,Trundle,Corki,Pantheon,Twisted,Sona,2
Twisted,Cho'Gath,Singed,Malzahar,Trundle,Akali,Kassadin,Janna,Vi,Alistar,1
Nami,Vi,Malzahar,Poppy,Darius,Nunu,Skarner,Fiora,Rumble,Cho'Gath,1
Morgana,Garen,Jayce,Trundle,Fiora,Sona,LeBlanc,Thresh,Rengar,Shaco,2
Shyvana,Caitlyn,Taric,Thresh,Morgana,Karthus,Diana,Sona,Trundle,Corki,2
Graves,Shyvana,Master,Corki,Kassadin,Sivir,Udyr,Heimerdinger,Teemo,Soraka,1
Rengar,Heimerdinger,Irelia,Anivia,Shyvana,Fiora,Skarner,Corki,Poppy,Taric,2
Draven,Karma,Miss,Thresh,Lee,Nami,Shyvana,Jax,Malphite,Alistar,1
Malphite,Nami,Vi,Udyr,Trundle,Sona,Thresh,Shaco,Rammus,Heimerdinger,2
Thresh,Ashe,Vi,Karthus,Sona,Rumble,Anivia,Caitlyn,Evelynn,Katarina,1
Darius,Teemo,Mordekaiser,Akali,Fiora,Shyvana,Ezreal,Katarina,Heimerdinger,Rengar,1
Taric,Sona,Rengar,Lulu,Sivir,Malphite,Fiora,Sejuani,Trundle,Cho'Gath,2
Singed,Twisted,Amumu,Poppy,Corki,Malphite,Sona,Nami,Katarina,Miss,1
Ezreal,Hecarim,Gragas,Mordekaiser,Fizz,Irelia,Galio,Draven,Lux,Elise,1
Mordekaiser,Vi,Rumble,Kha'Zix,Trundle,Fiora,Morgana,Kayle,Twisted,Corki,1
Karthus,Morgana,Fiora,Shyvana,Nautilus,Singed,Talon,Renekton,Ashe,Trundle,2
Kennen,Urgot,Shaco,Orianna,Poppy,Cho'Gath,Ashe,Fizz,Alistar,Hecarim,2
Twisted,Irelia,Anivia,Nami,Nasus,Jax,Sejuani,Nocturne,Lee,Fiddlesticks,2
Jayce,Sion,Nasus,Vi,Shyvana,Singed,Gragas,Lee,Rengar,Thresh,2
Kennen,Galio,Cassiopeia,Heimerdinger,Caitlyn,Cho'Gath,Shaco,Garen,Syndra,Twisted,2
Cho'Gath,Garen,Caitlyn,Vi,Gragas,Cassiopeia,Shyvana,Poppy,Fiora,Galio,1
Trundle,Tryndamere,Diana,Singed,Shaco,Galio,Ashe,Draven,Fizz,Shyvana,2
Fiddlesticks,Corki,Kassadin,Thresh,Vayne,Orianna,Teemo,Ashe,Varus,Garen,1
Riven,Garen,Malzahar,Jarvan,Amumu,Singed,Dr.Mundo,Nasus,Rammus,Nami,2
Gragas,Kayle,Orianna,Vi,Sion,Galio,Poppy,Urgot,Vayne,Shyvana,2
Diana,Vi,Anivia,Draven,Fiora,Cho'Gath,Trundle,Malzahar,Heimerdinger,Viktor,2
Akali,Renekton,Nami,Diana,Sion,Shaco,Katarina,Kayle,Orianna,Viktor,1
Twisted,Caitlyn,Corki,LeBlanc,Trundle,Cho'Gath,Alistar,Urgot,Skarner,Tristana,1
Tristana,Draven,Lux,Corki,Malphite,Ashe,Shen,Rengar,Akali,Fiora,1
Corki,Thresh,Heimerdinger,Ezreal,Talon,Elise,Gragas,Pantheon,Mordekaiser,Nocturne,2
Maokai,Corki,Mordekaiser,Master,Sion,Kennen,Twisted,Soraka,Vi,Elise,1
Annie,Leona,Master,Rammus,Nasus,Kayle,Brand,Jax,Kassadin,Orianna,1
Elise,Mordekaiser,Thresh,Soraka,Diana,Twitch,Taric,Alistar,Fizz,Malzahar,2
Karthus,Renekton,Sona,Trundle,Akali,Soraka,Amumu,Cho'Gath,Katarina,Orianna,1
Leona,Shen,Fiddlesticks,Rammus,Mordekaiser,Kayle,Jarvan,Soraka,Fiora,Maokai,1
Sejuani,Thresh,Evelynn,Skarner,Varus,Fiora,Akali,Tristana,Vi,Katarina,1
Kayle,Caitlyn,Galio,Jax,Karthus,Nami,Morgana,Sion,Poppy,Cho'Gath,1
Nunu,Twisted,Tryndamere,Sejuani,Fiora,Orianna,Miss,Vi,Swain,Lee,1
Katarina,Rammus,Nidalee,Poppy,Akali,Diana,Shyvana,Gragas,Lee,Nasus,2
Orianna,Diana,Rengar,Rammus,Elise,Teemo,Akali,Fiora,Katarina,Hecarim,1
Gragas,Amumu,Master,Leona,Akali,Blitzcrank,Vi,Veigar,Kha'Zix,Rammus,2
Tryndamere,Maokai,Karthus,Mordekaiser,Anivia,Brand,Graves,Singed,Nasus,Evelynn,2
Ezreal,Alistar,Irelia,Orianna,Shyvana,Mordekaiser,Jarvan,Sona,Fiora,Darius,2
Shyvana,Sona,Kog'Maw,Trundle,Jarvan,Malzahar,Kha'Zix,Elise,Annie,Taric,2
Jayce,Dr.Mundo,Varus,Shen,Miss,Jax,Thresh,Caitlyn,Akali,Lulu,2
Ashe,Shyvana,Alistar,Sona,Dr.Mundo,Urgot,Janna,Malzahar,Rammus,Veigar,1
Orianna,Sona,Twitch,Swain,Diana,Miss,Trundle,Kayle,Rammus,Morgana,2
Lux,Nasus,Morgana,Poppy,Kayle,Singed,Evelynn,Malphite,Maokai,Master,1
